gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,32,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3443.6768,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4578.7428,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,8022.4196,0,0,0,0.79,790.59,
gfx950,256,64,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3528.5618,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4719.9629,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,8248.5247,0,0,0,1.54,769.01,
gfx950,256,128,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3617.4047,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4803.3216,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,8420.7263,0,0,0,3.01,753.44,
gfx950,256,256,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,3671.0854,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM32_NT,0.0%,4935.6893,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM32_ATOMIC_NT,0.0%,8606.7747,0,0,0,5.89,737.48,
gfx950,256,512,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,3665.3506,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM32_NT,0.0%,4947.6494,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM32_ATOMIC_NT,0.0%,8613.0,0,0,0,11.78,737.58,
gfx950,256,1024,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,3710.7089,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM32_CACHED,0.0%,4991.8141,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM32_ATOMIC,0.0%,8702.523,0,0,0,23.32,731.26,
gfx950,256,2048,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,3835.2764,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM32_CACHED,0.0%,5188.6537,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM32_ATOMIC,0.0%,9023.9301,0,0,0,44.98,707.65,
gfx950,256,4096,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,3757.8945,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM128,0.0%,5271.3216,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM128_NONATOMIC,0.0%,9029.2161,0,0,0,89.9,712.12,
gfx950,256,8192,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,3987.6459,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM128,0.0%,5685.6369,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM128_NONATOMIC,0.0%,9673.2828,0,0,0,167.83,673.81,
gfx950,256,16384,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,4494.7726,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM128,0.0%,6607.6766,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM128_NONATOMIC,0.0%,11102.4492,0,0,0,292.46,602.94,
