cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag,gfx,xbf16,flat
256,8192,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1306.9646,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,1306.9646,0,0.0,0.0,,gfx950,0,0
256,16384,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2027.708,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256_f4out,0.0,2027.708,0,0.0,0.0,,gfx950,0,0
256,32768,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,3713.6712,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256_f4out,0.0,3713.6712,0,0.0,0.0,,gfx950,0,0
256,1,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,30.7929,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,30.7929,0,0.0,0.0,,gfx950,0,0
256,2,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,29.4335,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,29.4335,0,0.0,0.0,,gfx950,0,0
256,4,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,33.5344,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,33.5344,0,0.0,0.0,,gfx950,0,0
256,8,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,40.9754,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,40.9754,0,0.0,0.0,,gfx950,0,0
256,16,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,62.1032,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,62.1032,0,0.0,0.0,,gfx950,0,0
256,32,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,96.3556,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,96.3556,0,0.0,0.0,,gfx950,0,0
256,64,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,153.9553,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,153.9553,0,0.0,0.0,,gfx950,0,0
256,128,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,178.7799,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,178.7799,0,0.0,0.0,,gfx950,0,0
256,256,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,193.6262,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,193.6262,0,0.0,0.0,,gfx950,0,0
256,512,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,234.0549,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,234.0549,0,0.0,0.0,,gfx950,0,0
256,1024,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,285.8307,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,285.8307,0,0.0,0.0,,gfx950,0,0
256,2048,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,398.9389,flydsl_mxmoe_g1_a4w4_64x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_64x256x256_cshuffle,0.0,398.9389,0,0.0,0.0,,gfx950,0,0
256,4096,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,523.7885,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,523.7885,0,0.0,0.0,,gfx950,0,0
256,8192,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,917.0662,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,917.0662,0,0.0,0.0,,gfx950,0,0
256,16384,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1709.3154,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256_f4out,0.0,1709.3154,0,0.0,0.0,,gfx950,0,0
256,32768,7168,256,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,3010.2694,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256_f4out,0.0,3010.2694,0,0.0,0.0,,gfx950,0,0
256,1,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,34.0549,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,34.0549,0,0.0,0.0,,gfx950,0,0
256,2,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,43.5532,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,43.5532,0,0.0,0.0,,gfx950,0,0
256,4,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,81.6003,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,81.6003,0,0.0,0.0,,gfx950,0,0
256,8,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,139.7099,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,139.7099,0,0.0,0.0,,gfx950,0,0
256,16,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,223.9224,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,223.9224,0,0.0,0.0,,gfx950,0,0
256,32,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,360.7107,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,360.7107,0,0.0,0.0,,gfx950,0,0
256,64,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,532.4863,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,532.4863,0,0.0,0.0,,gfx950,0,0
256,128,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,666.868,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,666.868,0,0.0,0.0,,gfx950,0,0
256,256,7168,1024,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,724.6425,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,724.6425,0,0.0,0.0,,gfx950,0,0
